Harmonic,Period,Power,Relative Power
Main Harmonic,0.7841251023958404,0.007213469578218269,1.0
Harmonic 1,0.3915888077367058,0.0028714866648868,0.39807288763752696
Harmonic 2,0.27804050866629965,0.001980474455038291,0.274552271076115
Harmonic 3,0.20337426211863063,0.001683667353165917,0.23340603781707273
Harmonic 4,0.16755042239010834,0.0016645214323432968,0.2307518475394242
Harmonic 5,0.13672355149100268,0.0015576190879981232,0.21593202426492467
Harmonic 6,0.11615424131202806,0.0016765590190695166,0.23242061270100034
Harmonic 6,0.10297585114414771,0.0015396727802703912,0.21344413580388194
Harmonic 7,0.10297585114414771,0.0015396727802703912,0.21344413580388194
Harmonic 7,0.08969248455849724,0.0014576227857077404,0.20206958245296627
