,TIC,Sectors
0,67768181,42
1,67768181,43
2,67768181,44
3,67768181,70
4,67768181,71
5,368129164,23
6,368129164,50
7,405754448,11
8,405754448,37
9,405754448,38
10,405754448,65
11,405754448,64
12,167664935,11
13,167664935,38
14,167664935,65
15,311092148,31
16,402980664,18
17,402980664,19
18,402980664,26
19,402980664,25
20,402980664,58
21,402980664,59
22,402980664,53
23,402980664,73
24,50745567,6
25,50745567,32
26,59836633,43
27,59836633,44
28,59836633,71
29,425933644,28
30,425933644,29
31,425933644,68
32,425933644,69
